,pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation
0,967.0,345,28.2,23.6,180.0,11.0,-1.3471114790620886e-15,11.0,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
1,955.0,456,27.0,22.6,182.0,15.0,0.5234924505375135,14.990862405286437,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
2,938.4,610,25.0,21.2,185.0,20.0,1.7431148549531588,19.92389396183491,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
3,925.0,736,23.4,20.0,185.0,21.0,1.830270597700817,20.920088659926655,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
4,906.4,914,21.8,19.7,190.0,19.0,3.299315375671679,18.711347307231954,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
5,904.0,937,21.6,19.7,191.0,19.0,3.6253709121543496,18.650916485505615,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
6,875.0,1219,19.6,18.7,205.0,25.0,10.565456543517481,22.65769467591625,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
7,869.0,1279,19.2,18.5,207.0,25.0,11.349762493488665,22.275163104709197,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
8,858.0,1389,19.4,16.9,212.0,26.0,13.777900870063325,22.049250500067078,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
9,850.0,1470,18.6,16.1,215.0,27.0,15.486563781478246,22.11710519580278,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
10,817.0,1809,15.8,14.8,220.0,29.0,18.640840680909637,22.215288850450364,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
11,815.1,1829,16.2,14.5,220.0,29.0,18.640840680909637,22.215288850450364,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
12,814.0,1841,16.4,14.3,220.0,29.0,18.640840680909637,22.215288850450364,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
13,811.0,1872,19.6,9.6,219.0,30.0,18.879611731495128,23.314378843709125,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
14,809.0,1894,20.0,9.0,219.0,31.0,19.508932122544966,24.091524805166095,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
